productId,author,country,rating,content,date
1.01E+15,Mr. Julius Simonis,ES,5,"All right, with sellers like that it's still a pleasure to buy on Aliexpress. Recommended seller, 5 stars.",12/12/2022
1.01E+15,Mrs. Otis Schamberger,LV,5,OK.,12/12/2022
1.01E+15,Brandy Wolf,PL,5,all OK,12/12/2022
1.01E+15,Mrs. Lester Macejkovic,SK,4,"The actual cells capacity is in the range of 310 - 330 mAh, internal resistance of cells is in the range of 75 - 85mOhm tested by LiitoKala Lii-600 at 250mA.",9/21/2022
1.01E+15,Joann Wiza,US,3,"The listing showed 1000 mAh batteries were being sold. The delivery had 350 mAh batteries sent instead. That is a big difference in product, only a third of the purchase. It has caused a loss to this buyer.",10/23/2022
1.01E+15,Harry Huel,RU,5,"I received everything perfectly 10 days faster than the stated one. We'll check in tomorrow, thank you.",12/22/2022
1.01E+15,Gladys Hills,BR,5,"Perfect original battery Leica, excellent product quality, recommend.",9/29/2022
1.01E+15,Frank Auer,BR,5,"Very good, the product I needed arrived right",12/25/2022
1.01E+15,Wendell Krajcik,ES,5,Perfect originals and everything! With your serial number,12/5/2022
1.01E+15,Charlie McKenzie,ES,5,It's okay,1/20/2023
1.01E+15,Silvia Senger,PT,1,Completely disillusioned. the clock arrived with the broken glass,1/20/2023
1.01E+15,Rudy Wunsch,FR,5,I like very good quality I recommend,1/20/2023
1.01E+15,Allison Kassulke Jr.,TR,2,He's exactly fake.,1/19/2023
1.01E+15,Gerald Dooley,FR,3,Nothing to say,1/19/2023
1.01E+15,Brooke Auer,FR,1,Received my one can on it,1/19/2023
1.01E+15,Janice Predovic,NL,2,Unfortunately zwabbert the big hand back and forth. See also the video that I have sent the dispute that there runs. Then you can clearly see that there is any of a production error. I would like my money back. Very much thanks for your m dewerking.,1/19/2023
1.01E+15,Garry Nicolas,PL,4,Works all is in the description.,1/19/2023
1.01E+15,Roxanne Hilll,PE,5,Gift watch can't say anything more.,1/19/2023
1.01E+15,Annie Little,MX,1,I received nothing!!,1/19/2023
1.01E+15,Drew Grimes,TR,2,Beş for etmez.,1/19/2023
1.01E+15,Cedric Trantow,NI,1,"I never get there, completely dissatisfied",1/19/2023
